0	Q0	1195125	1
0	Q0	161676	1
0	Q0	771637	1
0	Q0	1067100	1
1	Q0	177569	1
1	Q0	1094308	1
1	Q0	39815	1
1	Q0	1077714	1
1	Q0	263700	1
1	Q0	1067100	1
2	Q0	530085	1
2	Q0	829161	1
2	Q0	580234	1
2	Q0	196460	1
2	Q0	351259	1
3	Q0	177569	1
3	Q0	283943	1
3	Q0	1068143	1
3	Q0	197840	1
3	Q0	263700	1
4	Q0	197840	1
4	Q0	817650	1
4	Q0	1068143	1
5	Q0	1058629	1
5	Q0	266375	1
5	Q0	266376	1
5	Q0	39817	1
5	Q0	39816	1
6	Q0	281699	1
6	Q0	817925	1
6	Q0	39817	1
6	Q0	39818	1
6	Q0	161676	1
7	Q0	270241	1
7	Q0	284803	1
7	Q0	195267	1
7	Q0	266644	1
7	Q0	281310	1
8	Q0	284803	1
9	Q0	810432	1
9	Q0	284803	1
9	Q0	195267	1
9	Q0	828615	1
9	Q0	544023	1
9	Q0	281310	1
10	Q0	773708	1
10	Q0	1063045	1
10	Q0	195950	1
11	Q0	810433	1
12	Q0	195267	1
12	Q0	281310	1
12	Q0	281309	1
12	Q0	568318	1
13	Q0	211272	1
13	Q0	515497	1
13	Q0	288326	1
14	Q0	810433	1
14	Q0	281309	1
15	Q0	1312867	1
15	Q0	294377	1
15	Q0	196018	1
15	Q0	208502	1
15	Q0	208503	1
17	Q0	289011	1
18	Q0	819987	1
18	Q0	289011	1
18	Q0	388421	1
19	Q0	212152	1
19	Q0	614281	1
19	Q0	1061651	1
20	Q0	580098	1
20	Q0	388421	1
20	Q0	882002	1
20	Q0	819987	1
20	Q0	289011	1
21	Q0	1094347	1
22	Q0	1094347	1
23	Q0	269098	1
24	Q0	179962	1
25	Q0	1066401	1
26	Q0	195589	1
27	Q0	195589	1
28	Q0	210336	1
29	Q0	792289	1
29	Q0	803975	1
29	Q0	1087466	1
29	Q0	185357	1
29	Q0	264942	1
30	Q0	568745	1
31	Q0	568745	1
31	Q0	185357	1
31	Q0	1193310	1
32	Q0	37769	1
32	Q0	1091762	1
32	Q0	556922	1
32	Q0	37767	1
33	Q0	257507	1
33	Q0	188342	1
33	Q0	1193310	1
33	Q0	1150223	1
34	Q0	568739	1
35	Q0	815890	1
35	Q0	264942	1
35	Q0	1150223	1
36	Q0	194211	1
36	Q0	546570	1
36	Q0	809391	1
36	Q0	1150223	1
36	Q0	815890	1
36	Q0	1193310	1
37	Q0	539662	1
